Date,Team1,Team1_ELO,Team2,Team2_ELO,Map,Name,Agent,Kills,Deaths,Assists
2025-07-26 00:00:00,Rex Regum Qeon,1767,Nongshim RedForce,1781,1 Corrode,Monyet,Omen,19,16,15
2025-07-26 00:00:00,Rex Regum Qeon,1767,Nongshim RedForce,1781,2 Haven,Monyet,Neon,20,13,9
2025-07-26 00:00:00,Rex Regum Qeon,1767,Nongshim RedForce,1781,3 Icebox,Monyet,Viper,21,10,10
2025-07-20 00:00:00,Rex Regum Qeon,1714,Gen.G,2055,1 Sunset,Monyet,Omen,23,11,11
2025-07-20 00:00:00,Rex Regum Qeon,1714,Gen.G,2055,2 Ascent,Monyet,Omen,11,13,6
2025-07-20 00:00:00,Rex Regum Qeon,1714,Gen.G,2055,3 Haven,Monyet,Neon,24,16,5
