Date,Team1,Team1_ELO,Team2,Team2_ELO,Map,Name,Agent,Kills,Deaths,Assists
2025/07/27,BOOM Esports,1752,Paper Rex,2096,1 Bind,f0rsakeN,Brimstone,14,16,14
2025/07/27,BOOM Esports,1752,Paper Rex,2096,2 Lotus,f0rsakeN,Omen,21,17,10
2025/07/19,Paper Rex,2091,DetonatioN FocusMe,1635,1 Lotus,f0rsakeN,Omen,18,12,7
2025/07/19,Paper Rex,2091,DetonatioN FocusMe,1635,2 Haven,f0rsakeN,Waylay,16,12,4
